#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.79e+01    2.26e+01      1.35e-01    1.33e-01      5.67e-01    7.15e-01    1.0e-03
    200      5.70e+00    6.21e+00      1.66e+00    1.66e+00      1.91e-01    2.10e-01    8.1e-04
    400      5.49e+00    5.77e+00      3.55e-01    3.55e-01      2.12e-01    2.23e-01    6.6e-04
    600      3.05e+00    2.94e+00      1.16e-01    1.16e-01      1.31e-01    1.26e-01    5.4e-04
    800      2.04e+00    2.07e+00      1.91e-02    1.92e-02      9.71e-02    9.85e-02    4.4e-04
   1000      1.29e+00    1.29e+00      1.31e-03    9.32e-04      6.83e-02    6.81e-02    3.6e-04
   1200      9.34e-01    7.86e-01      1.01e-02    1.03e-02      5.46e-02    4.59e-02    2.9e-04
   1400      5.78e-01    5.39e-01      8.27e-03    8.60e-03      3.74e-02    3.49e-02    2.4e-04
   1600      5.44e-01    4.70e-01      1.51e-03    1.66e-03      3.90e-02    3.37e-02    1.9e-04
   1800      4.34e-01    4.35e-01      3.14e-03    2.87e-03      3.44e-02    3.45e-02    1.6e-04
   2000      4.47e-01    3.84e-01      1.09e-02    1.08e-02      3.93e-02    3.37e-02    1.3e-04
   2200      2.24e-01    3.00e-01      2.86e-04    7.06e-04      2.18e-02    2.92e-02    1.0e-04
   2400      2.92e-01    2.50e-01      1.94e-03    1.73e-03      3.15e-02    2.70e-02    8.5e-05
   2600      2.75e-01    2.28e-01      1.75e-03    1.26e-03      3.28e-02    2.71e-02    6.9e-05
   2800      1.50e-01    1.82e-01      1.39e-03    1.39e-03      1.98e-02    2.40e-02    5.7e-05
   3000      2.12e-01    1.98e-01      1.13e-03    1.25e-03      3.09e-02    2.88e-02    4.6e-05
   3200      1.98e-01    1.49e-01      6.32e-04    6.14e-04      3.20e-02    2.40e-02    3.8e-05
   3400      1.71e-01    1.04e-01      2.40e-03    2.13e-03      3.04e-02    1.85e-02    3.1e-05
   3600      1.02e-01    1.21e-01      2.34e-04    3.89e-04      2.01e-02    2.38e-02    2.5e-05
   3800      1.19e-01    1.24e-01      3.40e-04    2.89e-04      2.58e-02    2.69e-02    2.0e-05
   4000      1.41e-01    1.12e-01      8.82e-04    5.28e-04      3.38e-02    2.68e-02    1.7e-05
   4200      9.54e-02    8.65e-02      2.32e-04    3.08e-04      2.51e-02    2.27e-02    1.3e-05
   4400      1.01e-01    1.10e-01      5.37e-04    7.38e-04      2.93e-02    3.19e-02    1.1e-05
   4600      9.03e-02    8.10e-02      7.11e-04    5.49e-04      2.87e-02    2.57e-02    8.9e-06
   4800      6.34e-02    8.21e-02      2.94e-04    4.19e-04      2.20e-02    2.85e-02    7.3e-06
   5000      6.76e-02    7.98e-02      1.84e-04    5.92e-04      2.57e-02    3.03e-02    5.9e-06
   5200      6.12e-02    5.83e-02      3.69e-04    3.19e-04      2.53e-02    2.41e-02    4.8e-06
   5400      5.48e-02    5.04e-02      2.86e-04    2.82e-04      2.47e-02    2.27e-02    3.9e-06
   5600      7.23e-02    3.99e-02      7.11e-04    2.73e-04      3.53e-02    1.95e-02    3.2e-06
   5800      5.41e-02    4.66e-02      4.66e-04    3.26e-04      2.85e-02    2.45e-02    2.6e-06
   6000      4.70e-02    3.17e-02      1.52e-04    1.75e-04      2.66e-02    1.79e-02    2.1e-06
   6200      4.55e-02    3.45e-02      4.05e-04    1.62e-04      2.75e-02    2.09e-02    1.7e-06
   6400      4.03e-02    4.31e-02      4.78e-04    1.91e-04      2.60e-02    2.78e-02    1.4e-06
   6600      4.06e-02    3.42e-02      4.64e-04    2.04e-04      2.77e-02    2.33e-02    1.1e-06
   6800      4.64e-02    4.48e-02      5.09e-04    6.65e-04      3.34e-02    3.22e-02    9.3e-07
   7000      3.83e-02    3.85e-02      4.17e-04    4.77e-04      2.89e-02    2.90e-02    7.6e-07
   7200      4.12e-02    2.58e-02      4.81e-04    2.45e-04      3.24e-02    2.03e-02    6.2e-07
   7400      2.95e-02    3.46e-02      2.99e-04    2.47e-04      2.40e-02    2.82e-02    5.1e-07
   7600      3.19e-02    3.02e-02      3.56e-04    4.03e-04      2.69e-02    2.54e-02    4.1e-07
   7800      3.23e-02    2.98e-02      5.33e-04    6.19e-04      2.79e-02    2.58e-02    3.4e-07
   8000      3.15e-02    2.36e-02      4.62e-04    2.35e-04      2.79e-02    2.09e-02    2.7e-07
   8200      2.65e-02    2.83e-02      2.72e-04    1.82e-04      2.40e-02    2.56e-02    2.2e-07
   8400      2.96e-02    2.67e-02      4.51e-04    2.52e-04      2.72e-02    2.46e-02    1.8e-07
   8600      3.52e-02    2.95e-02      5.48e-04    3.99e-04      3.28e-02    2.75e-02    1.5e-07
   8800      2.36e-02    2.46e-02      1.24e-04    4.67e-04      2.23e-02    2.32e-02    1.2e-07
   9000      2.98e-02    3.02e-02      5.27e-04    6.27e-04      2.84e-02    2.88e-02    9.8e-08
   9200      2.18e-02    3.36e-02      1.86e-04    4.42e-04      2.10e-02    3.23e-02    8.0e-08
   9400      2.36e-02    3.09e-02      1.98e-04    3.21e-04      2.28e-02    3.00e-02    6.5e-08
   9600      2.93e-02    2.45e-02      4.19e-04    2.14e-04      2.85e-02    2.39e-02    5.3e-08
   9800      3.53e-02    2.64e-02      5.75e-04    3.01e-04      3.46e-02    2.59e-02    4.3e-08
  10000      2.76e-02    2.25e-02      4.83e-04    1.62e-04      2.71e-02    2.21e-02    3.5e-08
