#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.72e+01    2.08e+01      1.37e-01    1.35e-01      5.42e-01    6.57e-01    1.0e-03
    200      4.82e+00    5.31e+00      1.71e+00    1.71e+00      1.58e-01    1.76e-01    8.1e-04
    400      3.38e+00    3.37e+00      4.70e-01    4.69e-01      1.29e-01    1.28e-01    6.6e-04
    600      2.70e+00    2.55e+00      6.18e-02    6.12e-02      1.16e-01    1.09e-01    5.4e-04
    800      1.83e+00    1.92e+00      1.01e-02    1.01e-02      8.71e-02    9.13e-02    4.4e-04
   1000      1.83e+00    1.41e+00      3.42e-02    3.60e-02      9.66e-02    7.45e-02    3.6e-04
   1200      8.39e-01    8.51e-01      6.53e-03    6.30e-03      4.90e-02    4.97e-02    2.9e-04
   1400      9.33e-01    8.26e-01      1.35e-03    9.97e-04      6.04e-02    5.35e-02    2.4e-04
   1600      5.37e-01    5.04e-01      9.34e-03    9.67e-03      3.85e-02    3.61e-02    1.9e-04
   1800      4.07e-01    4.62e-01      5.54e-04    8.99e-04      3.23e-02    3.67e-02    1.6e-04
   2000      3.33e-01    3.68e-01      8.21e-03    8.38e-03      2.92e-02    3.23e-02    1.3e-04
   2200      4.02e-01    3.72e-01      1.89e-03    1.93e-03      3.91e-02    3.61e-02    1.0e-04
   2400      3.06e-01    4.01e-01      2.00e-03    2.47e-03      3.29e-02    4.32e-02    8.5e-05
   2600      2.59e-01    3.27e-01      2.56e-03    2.78e-03      3.08e-02    3.89e-02    6.9e-05
   2800      2.07e-01    2.40e-01      6.29e-04    6.88e-04      2.73e-02    3.17e-02    5.7e-05
   3000      1.88e-01    1.92e-01      1.19e-03    1.09e-03      2.74e-02    2.81e-02    4.6e-05
   3200      1.66e-01    1.92e-01      1.05e-03    1.01e-03      2.67e-02    3.10e-02    3.8e-05
   3400      1.73e-01    2.11e-01      4.54e-04    9.90e-04      3.08e-02    3.75e-02    3.1e-05
   3600      1.69e-01    1.74e-01      2.85e-04    2.73e-04      3.33e-02    3.42e-02    2.5e-05
   3800      1.26e-01    1.58e-01      4.97e-04    9.36e-04      2.72e-02    3.42e-02    2.0e-05
   4000      1.18e-01    1.38e-01      2.65e-04    5.28e-04      2.83e-02    3.30e-02    1.7e-05
   4200      8.14e-02    1.42e-01      2.87e-04    7.01e-04      2.14e-02    3.75e-02    1.3e-05
   4400      1.21e-01    8.83e-02      3.14e-04    2.90e-04      3.49e-02    2.55e-02    1.1e-05
   4600      1.08e-01    1.20e-01      7.12e-04    6.73e-04      3.42e-02    3.82e-02    8.9e-06
   4800      9.27e-02    1.00e-01      3.48e-04    4.42e-04      3.22e-02    3.49e-02    7.3e-06
   5000      8.09e-02    8.09e-02      2.82e-04    3.45e-04      3.08e-02    3.08e-02    5.9e-06
   5200      6.18e-02    5.90e-02      4.01e-04    4.72e-04      2.56e-02    2.45e-02    4.8e-06
   5400      6.59e-02    6.49e-02      2.89e-04    4.05e-04      2.97e-02    2.92e-02    3.9e-06
   5600      8.14e-02    6.72e-02      7.45e-04    6.82e-04      3.97e-02    3.28e-02    3.2e-06
   5800      4.63e-02    4.45e-02      3.47e-04    2.90e-04      2.44e-02    2.34e-02    2.6e-06
   6000      5.18e-02    7.18e-02      3.09e-04    6.52e-04      2.93e-02    4.07e-02    2.1e-06
   6200      5.00e-02    6.19e-02      4.13e-04    5.26e-04      3.03e-02    3.75e-02    1.7e-06
   6400      4.77e-02    4.55e-02      3.03e-04    2.53e-04      3.07e-02    2.93e-02    1.4e-06
   6600      4.69e-02    4.64e-02      3.31e-04    3.07e-04      3.20e-02    3.17e-02    1.1e-06
   6800      3.07e-02    4.02e-02      2.56e-04    3.72e-04      2.21e-02    2.89e-02    9.3e-07
   7000      2.94e-02    4.00e-02      2.80e-04    3.40e-04      2.21e-02    3.01e-02    7.6e-07
   7200      3.21e-02    4.58e-02      2.41e-04    6.53e-04      2.52e-02    3.59e-02    6.2e-07
   7400      3.06e-02    5.10e-02      3.79e-04    5.29e-04      2.49e-02    4.16e-02    5.1e-07
   7600      4.67e-02    3.92e-02      7.14e-04    3.22e-04      3.93e-02    3.30e-02    4.1e-07
   7800      4.05e-02    3.23e-02      4.07e-04    4.16e-04      3.50e-02    2.79e-02    3.4e-07
   8000      3.20e-02    3.42e-02      3.64e-04    4.11e-04      2.84e-02    3.03e-02    2.7e-07
   8200      3.56e-02    3.87e-02      6.62e-04    4.79e-04      3.22e-02    3.50e-02    2.2e-07
   8400      3.69e-02    4.25e-02      3.65e-04    7.77e-04      3.40e-02    3.91e-02    1.8e-07
   8600      3.77e-02    4.19e-02      3.16e-04    5.36e-04      3.52e-02    3.91e-02    1.5e-07
   8800      2.13e-02    4.32e-02      3.49e-04    6.51e-04      2.01e-02    4.08e-02    1.2e-07
   9000      3.68e-02    3.40e-02      3.56e-04    6.88e-04      3.52e-02    3.24e-02    9.8e-08
   9200      4.02e-02    3.84e-02      6.52e-04    5.34e-04      3.87e-02    3.69e-02    8.0e-08
   9400      2.84e-02    3.52e-02      3.63e-04    6.93e-04      2.75e-02    3.41e-02    6.5e-08
   9600      2.36e-02    3.69e-02      2.58e-04    6.21e-04      2.30e-02    3.59e-02    5.3e-08
   9800      2.90e-02    2.87e-02      4.07e-04    4.30e-04      2.84e-02    2.81e-02    4.3e-08
  10000      3.15e-02    3.83e-02      3.73e-04    4.69e-04      3.10e-02    3.76e-02    3.5e-08
