#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.41e+01    1.26e+01      7.04e-01    7.03e-01      4.45e-01    3.98e-01    1.0e-03
   1000      4.74e+00    5.86e+00      3.50e-01    3.49e-01      1.50e-01    1.85e-01    1.0e-03
   2000      5.18e+00    4.31e+00      3.10e-02    3.03e-02      1.64e-01    1.36e-01    1.0e-03
   3000      3.74e+00    4.46e+00      2.66e-02    2.67e-02      1.18e-01    1.41e-01    1.0e-03
   4000      2.94e+00    3.82e+00      4.69e-02    4.71e-02      9.31e-02    1.21e-01    1.0e-03
   5000      5.23e+00    4.16e+00      9.27e-03    8.90e-03      1.70e-01    1.35e-01    9.5e-04
   6000      3.87e+00    3.38e+00      1.64e-02    1.68e-02      1.25e-01    1.10e-01    9.5e-04
   7000      2.96e+00    4.68e+00      3.04e-02    3.01e-02      9.60e-02    1.52e-01    9.5e-04
   8000      3.74e+00    4.58e+00      4.81e-03    5.08e-03      1.21e-01    1.49e-01    9.5e-04
   9000      3.35e+00    4.03e+00      3.04e-03    3.21e-03      1.09e-01    1.31e-01    9.5e-04
  10000      4.34e+00    3.96e+00      8.26e-02    8.26e-02      1.44e-01    1.32e-01    9.0e-04
  11000      2.97e+00    3.65e+00      1.22e-02    1.22e-02      9.89e-02    1.21e-01    9.0e-04
  12000      3.56e+00    3.21e+00      9.02e-03    9.17e-03      1.18e-01    1.07e-01    9.0e-04
  13000      3.52e+00    4.50e+00      4.46e-02    4.47e-02      1.17e-01    1.50e-01    9.0e-04
  14000      4.37e+00    4.41e+00      3.95e-02    3.95e-02      1.46e-01    1.47e-01    9.0e-04
  15000      4.59e+00    2.98e+00      5.71e-03    6.23e-03      1.57e-01    1.02e-01    8.6e-04
  16000      2.74e+00    4.72e+00      5.49e-02    5.48e-02      9.37e-02    1.61e-01    8.6e-04
  17000      4.43e+00    3.57e+00      6.25e-02    6.27e-02      1.51e-01    1.22e-01    8.6e-04
  18000      2.89e+00    3.29e+00      6.69e-02    6.75e-02      9.87e-02    1.12e-01    8.6e-04
  19000      3.61e+00    4.12e+00      9.47e-04    9.05e-04      1.23e-01    1.41e-01    8.6e-04
  20000      3.57e+00    4.34e+00      7.26e-02    7.24e-02      1.25e-01    1.52e-01    8.1e-04
  21000      3.45e+00    3.54e+00      1.04e-02    1.02e-02      1.21e-01    1.24e-01    8.1e-04
  22000      4.10e+00    3.08e+00      1.88e-02    1.86e-02      1.44e-01    1.08e-01    8.1e-04
  23000      3.67e+00    3.31e+00      6.60e-02    6.62e-02      1.28e-01    1.16e-01    8.1e-04
  24000      4.36e+00    3.67e+00      3.97e-02    3.96e-02      1.53e-01    1.28e-01    8.1e-04
  25000      2.84e+00    2.20e+00      4.63e-03    4.49e-03      1.02e-01    7.90e-02    7.7e-04
  26000      3.41e+00    3.98e+00      3.23e-02    3.26e-02      1.23e-01    1.43e-01    7.7e-04
  27000      3.57e+00    2.74e+00      7.99e-03    7.93e-03      1.28e-01    9.85e-02    7.7e-04
  28000      3.92e+00    3.91e+00      4.59e-02    4.63e-02      1.41e-01    1.40e-01    7.7e-04
  29000      3.64e+00    3.01e+00      1.38e-02    1.40e-02      1.31e-01    1.08e-01    7.7e-04
  30000      3.53e+00    4.46e+00      7.41e-03    7.38e-03      1.30e-01    1.65e-01    7.4e-04
  31000      2.83e+00    2.48e+00      2.48e-02    2.49e-02      1.04e-01    9.13e-02    7.4e-04
  32000      4.05e+00    3.55e+00      1.18e-02    1.18e-02      1.49e-01    1.31e-01    7.4e-04
  33000      3.74e+00    2.65e+00      4.88e-03    4.50e-03      1.38e-01    9.78e-02    7.4e-04
  34000      2.96e+00    3.02e+00      3.36e-03    3.32e-03      1.09e-01    1.12e-01    7.4e-04
  35000      3.50e+00    3.95e+00      2.97e-02    2.96e-02      1.32e-01    1.49e-01    7.0e-04
  36000      3.26e+00    2.20e+00      1.86e-03    1.80e-03      1.23e-01    8.34e-02    7.0e-04
  37000      2.88e+00    3.33e+00      1.21e-02    1.23e-02      1.09e-01    1.26e-01    7.0e-04
  38000      3.10e+00    4.04e+00      3.15e-03    2.61e-03      1.17e-01    1.53e-01    7.0e-04
  39000      3.62e+00    3.28e+00      8.41e-03    7.71e-03      1.37e-01    1.24e-01    7.0e-04
  40000      3.33e+00    2.67e+00      8.98e-03    9.54e-03      1.29e-01    1.04e-01    6.6e-04
  41000      2.79e+00    3.79e+00      2.00e-02    1.92e-02      1.08e-01    1.47e-01    6.6e-04
  42000      3.66e+00    4.06e+00      4.01e-03    3.85e-03      1.42e-01    1.58e-01    6.6e-04
  43000      3.08e+00    2.44e+00      3.01e-03    3.20e-03      1.20e-01    9.47e-02    6.6e-04
  44000      3.12e+00    2.95e+00      1.92e-02    1.98e-02      1.21e-01    1.15e-01    6.6e-04
  45000      3.16e+00    3.37e+00      2.97e-03    3.19e-03      1.26e-01    1.34e-01    6.3e-04
  46000      2.95e+00    2.58e+00      7.64e-03    7.62e-03      1.17e-01    1.03e-01    6.3e-04
  47000      2.01e+00    3.63e+00      3.43e-02    3.43e-02      8.01e-02    1.44e-01    6.3e-04
  48000      2.90e+00    2.74e+00      7.65e-04    9.60e-04      1.15e-01    1.09e-01    6.3e-04
  49000      3.51e+00    3.30e+00      5.72e-03    4.80e-03      1.40e-01    1.31e-01    6.3e-04
  50000      3.08e+00    3.37e+00      1.51e-02    1.56e-02      1.26e-01    1.38e-01    6.0e-04
  51000      2.60e+00    2.99e+00      1.42e-02    1.37e-02      1.06e-01    1.22e-01    6.0e-04
  52000      3.37e+00    3.41e+00      2.28e-02    2.30e-02      1.37e-01    1.39e-01    6.0e-04
  53000      3.42e+00    3.39e+00      4.59e-03    4.90e-03      1.40e-01    1.39e-01    6.0e-04
  54000      2.58e+00    3.00e+00      1.76e-02    1.77e-02      1.05e-01    1.22e-01    6.0e-04
  55000      1.61e+00    2.88e+00      2.27e-02    2.25e-02      6.77e-02    1.21e-01    5.7e-04
  56000      3.36e+00    3.56e+00      2.21e-02    2.26e-02      1.41e-01    1.49e-01    5.7e-04
  57000      3.23e+00    3.04e+00      1.97e-02    1.94e-02      1.35e-01    1.27e-01    5.7e-04
  58000      3.02e+00    3.53e+00      7.62e-03    7.99e-03      1.27e-01    1.48e-01    5.7e-04
  59000      2.79e+00    3.11e+00      1.68e-02    1.67e-02      1.17e-01    1.30e-01    5.7e-04
  60000      3.19e+00    2.60e+00      1.31e-02    1.27e-02      1.37e-01    1.12e-01    5.4e-04
  61000      2.63e+00    2.90e+00      6.51e-03    6.26e-03      1.13e-01    1.25e-01    5.4e-04
